ID,type,node.degree,relative.degree,Network,Salinity
ASV_1,abundant,47,5.987261146,n1,0.81375
ASV_102,abundant,27,3.439490446,n1,0.81375
ASV_104,abundant,4,0.50955414,n1,0.81375
ASV_106,abundant,16,2.038216561,n1,0.81375
ASV_110,abundant,1,0.127388535,n1,0.81375
ASV_111,abundant,29,3.694267516,n1,0.81375
ASV_114,abundant,1,0.127388535,n1,0.81375
ASV_116,abundant,9,1.146496815,n1,0.81375
ASV_119,abundant,1,0.127388535,n1,0.81375
ASV_12,abundant,5,0.636942675,n1,0.81375
ASV_121,abundant,10,1.27388535,n1,0.81375
ASV_123,abundant,16,2.038216561,n1,0.81375
ASV_124,abundant,13,1.656050955,n1,0.81375
ASV_125,abundant,1,0.127388535,n1,0.81375
ASV_126,abundant,12,1.52866242,n1,0.81375
ASV_127,abundant,24,3.057324841,n1,0.81375
ASV_128,abundant,3,0.382165605,n1,0.81375
ASV_129,abundant,18,2.292993631,n1,0.81375
ASV_13,abundant,43,5.477707006,n1,0.81375
ASV_130,abundant,4,0.50955414,n1,0.81375
ASV_131,abundant,4,0.50955414,n1,0.81375
ASV_133,abundant,1,0.127388535,n1,0.81375
ASV_134,abundant,29,3.694267516,n1,0.81375
ASV_136,abundant,3,0.382165605,n1,0.81375
ASV_137,abundant,11,1.401273885,n1,0.81375
ASV_14,abundant,43,5.477707006,n1,0.81375
ASV_140,abundant,4,0.50955414,n1,0.81375
ASV_144,abundant,21,2.675159236,n1,0.81375
ASV_146,abundant,7,0.891719745,n1,0.81375
ASV_147,abundant,11,1.401273885,n1,0.81375
ASV_148,abundant,30,3.821656051,n1,0.81375
ASV_15,abundant,42,5.350318471,n1,0.81375
ASV_151,abundant,3,0.382165605,n1,0.81375
ASV_152,abundant,1,0.127388535,n1,0.81375
ASV_154,abundant,34,4.331210191,n1,0.81375
ASV_155,abundant,10,1.27388535,n1,0.81375
ASV_156,abundant,8,1.01910828,n1,0.81375
ASV_158,abundant,38,4.840764331,n1,0.81375
ASV_159,abundant,17,2.165605096,n1,0.81375
